x,y
-1967.791759649558,1.5745748615588075
-1866.27510538061,1.6406014020692927
-1766.9977890734774,1.7992551037275808
-1678.9889660302504,1.8084769402429979
-1606.511901810067,1.8604636746838588
-1507.9810314902059,1.9630660685706562
-1409.4501611703447,2.0705542907377774
-1310.9192908504835,2.1853712553253843
-1212.3884205306224,2.3124027906138003
-1113.8575502107612,2.463863467303835
-1015.3266798909001,2.6177670581340315
-916.795809571039,2.7936568762256844
-818.264939251178,2.9768754367378225
-719.7340689313169,3.186966052791741
-621.2031986114557,3.4068283254063076
-522.6723282915946,3.5648034398034407
-428.6201338953633,3.1449479295809577
-339.04661542276244,2.4686678651128195
-258.4304487974214,1.8974127510538068
-182.29295809571022,1.3240178251646153
-97.19811554673925,0.7004866104636758
-16.581948921398634,0.14625046491445648
59.555541780312524,-0.4346089208474515
144.6503843292835,-1.039031118274237
229.74522687825447,-1.6428561589112025
314.84006942722544,-2.295747582444829
395.4562360525665,-2.8667787627076606
451.73258120505807,-3.2781800148772575
532.0458892706606,-3.5831067797810867
573.9142956029423,-3.504185198673442
686.5701710885196,-3.225683565133105
628.1407554343327,-3.349150756260837
785.1010414083808,-3.0155929490791866
883.6319117282419,-2.8226027320064
982.162782048103,-2.644269999774586
1080.6936523679642,-2.480594752383743
1179.2245226878254,-2.3340199039740313
1277.755393007687,-2.199659626265129
1376.2862633275477,-2.0750710051168753
1474.8171336474093,-1.9749115253702403
1573.34800396727,-1.8625374749227959
1671.8788742871316,-1.786807136577778
1770.4097446069923,-1.6866476568311422
1868.9406149268539,-1.6133602326262864
1970.4572691958015,-1.520621022398542
