Station,Latitude_(deg),Longitude_(deg),Height_(m),State,County,City_(nearest)
WALK,38.759,-118.764,1282.85,NV,Mineral,Hawthorne
WALL,41.248,-119.719,1770.12,CA,Modoc,Cedarville
WARD,39.148,-120.243,2569.97,CA,Placer,Olympic Valley
WASS,38.730,-118.894,1783.94,NV,Mineral,Hawthorne
WASU,39.036,-118.970,1510.75,NV,Mineral,Schurz
WEEP,37.850,-117.569,1409.98,NV,Esmeralda,Goldfield
WHTA,33.611,-112.514,469.87,AZ,Maricopa,Phoenix
WILC,40.558,-117.878,2137.97,NV,Pershing,Imlay
WILD,40.025,-118.468,1227.86,NV,Pershing,Lovelock
WINV,39.962,-119.824,1689.35,NV,Washoe,Reno
WLLS,41.167,-114.975,1815.30,NV,Elko,Wells
WOLF,37.608,-117.883,1915.81,NV,Esmeralda,Goldfield
WOND,39.381,-118.081,1587.36,NV,Churchill,Fallon
WRNR,41.557,-120.405,1487.29,CA,Modoc,Alturas
WUPA,35.512,-111.337,1429.00,AZ,Coconino,Forest Lakes
WVRT,39.944,-119.826,1663.39,NV,Washoe,Reno
YOMB,38.950,-117.517,2126.06,NV,Nye,Gabbs
ZION,37.356,-113.125,1933.84,UT,Washington,New Harmony
ZUMA,37.558,-117.490,1924.55,NV,Esmeralda,Dyer
