x,y
328499.40623455995, 4574514.889173434
328580.8154388309, 4581734.592454707
330309.9904524853, 4588721.43524359
329209.606352887, 4584849.046415927
330152.79272397124, 4569124.852026354
332643.11660071905, 4592972.081291164
331724.7700091117, 4565782.511189923
335422.99615501816, 4560815.644621536
333139.54956573807, 4563528.963201722
335545.22851174755, 4596642.5600792
337737.58312477375, 4558573.204535457
339490.3377977053, 4600056.697221689
340685.040534412, 4556259.602071248
342885.8087336086, 4602196.07158352
344143.39056172094, 4554339.827789165
346344.1587609175, 4603829.491044629
347601.74058902985, 4553013.940515209
349802.5087882264, 4604840.028968077
351018.1712220683, 4552110.022127647
353260.8588155353, 4605331.242533395
354518.4406436476, 4551729.487218564
356719.20884284424, 4605510.78976841
357976.79067095654, 4551729.487218564
360177.5588701531, 4604916.902760284
361435.14069826546, 4552106.996789621
363635.908897462, 4604488.751661402
365076.54811502184, 4553041.952655694
367094.2589247709, 4603314.78897092
368327.65648695803, 4554328.577030011
370678.36713489104, 4602158.320626414
371849.32633393275, 4556251.790673043
374010.9589793887, 4599212.8252171185
375834.45263015165, 4596638.39409352
374674.4781645832, 4558362.748263174
378277.754467627, 4594897.772437145
378726.89083481, 4563503.64243781
380676.14266838407, 4591837.577255737
381912.61315638095, 4589199.944012544
383575.1806392684, 4573917.876752632
383128.42723320314, 4585355.461694174
383914.4158757733, 4580899.007245599
383988.9352142038, 4577187.456377588
382866.43101901305, 4571099.608766217
381972.9242068825, 4568509.005488153
380632.66398868663, 4565702.518603583
376835.2600371318, 4560521.3120474545
328585.8921820816, 4578871.41860041
329256.0222911795, 4571531.375979228
