x,y
362676.04179855366,4530474.633446341
362757.4510028245,4537694.336727615
364486.626016479,4544681.179516498
363386.2419168807,4540808.790688835
364329.4282879649,4525084.596299262
366819.7521647127,4548931.825564072
365901.4055731053,4521742.25546283
369599.6317190118,4516775.388894444
367316.18512973166,4519488.70747463
369721.86407574115,4552602.304352108
371914.2186887674,4514532.9488083655
373666.9733616989,4556016.441494596
374861.6760984056,4512219.346344156
377062.4442976022,4558155.815856428
378320.02612571453,4510299.572062073
380520.79432491114,4559789.235317538
381778.37615302345,4508973.684788117
383979.14435222,4560799.773240985
385194.80678606196,4508069.766400555
387437.4943795289,4561290.986806303
388695.0762076413,4507689.231491473
390895.84440683783,4561470.534041318
392153.4262349502,4507689.231491473
394354.19443414675,4560876.647033192
395611.7762622591,4508066.741062529
397812.54446145566,4560448.49593431
399253.1836790155,4509001.696928603
401270.8944887646,4559274.533243828
402504.2920509516,4510288.321302919
404855.0026988847,4558118.064899322
406025.9618979264,4512211.534945951
408187.59454338235,4555172.569490027
410011.08819414524,4552598.138366428
408851.1137285768,4514322.492536082
412454.3900316206,4550857.516710053
412903.5263988036,4519463.386710718
414852.7782323778,4547797.321528645
416089.24872037466,4545159.688285451
417751.8162032622,4529877.62102554
417305.0627971969,4541315.205967082
418091.0514397671,4536858.7515185075
418165.57077819755,4533147.200650496
417043.06658300676,4527059.353039125
416149.5597708762,4524468.749761061
414809.29955268034,4521662.262876491
411011.89560112543,4516481.056320363
362762.52774607524,4534831.1628733175
363432.65785517317,4527491.120252136
